"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Dec-2020","EQ","392.40","408.45","386.95","392.10","407.00","404.95","398.46","779.80","197.00",5161307,"2,056,562,072.70",51757
"27-Nov-2020","EQ","386.05","396.95","381.30","383.30","389.10","392.10","389.98","779.80","197.00",6115382,"2,384,877,971.10",50662
"26-Nov-2020","EQ","370.10","385.00","365.40","368.05","384.75","383.30","375.66","779.80","197.00",4880589,"1,833,434,895.05",48937
"25-Nov-2020","EQ","373.00","376.90","363.10","367.40","369.25","368.05","370.13","779.80","197.00",4214218,"1,559,802,705.15",47656
"24-Nov-2020","EQ","361.00","374.35","358.35","358.45","369.00","367.40","368.70","779.80","197.00",5309131,"1,957,499,966.00",62486
"23-Nov-2020","EQ","359.20","362.95","351.10","356.35","358.10","358.45","357.28","779.80","197.00",2968976,"1,060,743,167.90",46815
"20-Nov-2020","EQ","360.00","368.85","351.05","353.05","355.10","356.35","358.18","779.80","197.00",9266501,"3,319,081,665.00",105593
"19-Nov-2020","EQ","327.95","359.50","325.00","327.40","353.65","353.05","349.73","779.80","197.00",13618212,"4,762,688,086.45",134404
"18-Nov-2020","EQ","322.90","332.70","321.10","322.10","327.60","327.40","327.57","779.80","197.00",2775112,"909,039,747.40",26719
"17-Nov-2020","EQ","324.00","326.70","318.10","324.35","322.35","322.10","321.78","779.80","197.00",1507783,"485,175,792.85",20053
"14-Nov-2020","EQ","329.70","329.75","322.05","324.50","323.00","324.35","325.44","779.80","197.00",249743,"81,275,434.30",5009
"13-Nov-2020","EQ","326.55","328.70","322.55","325.25","323.10","324.50","325.10","779.80","197.00",1267172,"411,955,251.85",14535
"12-Nov-2020","EQ","319.65","327.00","318.30","318.05","326.45","325.25","322.60","779.80","197.00",1858691,"599,615,772.20",20327
"11-Nov-2020","EQ","316.00","320.45","312.50","314.65","318.80","318.05","317.18","779.80","197.00",1690872,"536,316,201.20",16158
"10-Nov-2020","EQ","318.70","320.00","313.65","317.70","314.90","314.65","315.32","779.80","197.00",871806,"274,897,536.90",12029
"09-Nov-2020","EQ","318.00","320.45","313.95","317.60","317.95","317.70","317.26","779.80","197.00",948495,"300,923,894.95",10066
"06-Nov-2020","EQ","313.50","320.00","311.50","313.25","316.00","317.60","317.43","779.80","197.00",1259253,"399,721,044.85",11911
"05-Nov-2020","EQ","308.60","314.65","307.00","306.00","313.50","313.25","312.05","779.80","197.00",1017418,"317,489,069.60",11020
"04-Nov-2020","EQ","311.60","312.20","303.00","310.15","304.90","306.00","306.03","779.80","197.00",1350035,"413,148,655.45",14698
"03-Nov-2020","EQ","315.50","315.70","305.65","313.50","308.90","310.15","310.50","779.80","197.00",1520147,"472,002,558.85",17618
"02-Nov-2020","EQ","319.95","324.00","311.45","322.35","312.60","313.50","318.54","779.80","197.00",2854566,"909,285,766.20",19899
"30-Oct-2020","EQ","313.05","325.85","312.60","326.05","320.60","322.35","319.53","779.80","197.00",4790336,"1,530,679,369.10",38934
"29-Oct-2020","EQ","319.00","331.45","318.50","322.50","325.70","326.05","325.07","779.80","197.00",2699835,"877,636,749.55",38510
"28-Oct-2020","EQ","323.15","325.25","318.60","323.15","321.05","322.50","322.15","779.80","197.00",1256044,"404,634,817.75",13412
"27-Oct-2020","EQ","320.00","325.60","317.75","320.15","322.45","323.15","322.69","779.80","197.00",2062617,"665,576,202.15",19452
"26-Oct-2020","EQ","321.30","322.95","317.50","321.90","320.15","320.15","319.57","779.80","197.00",1634008,"522,175,030.35",12276
"23-Oct-2020","EQ","323.80","325.50","320.95","323.95","321.50","321.90","322.74","779.80","197.00",997430,"321,905,837.30",9826
"22-Oct-2020","EQ","321.50","326.00","317.50","321.45","323.40","323.95","322.03","779.80","197.00",2734398,"880,557,301.75",27827
"21-Oct-2020","EQ","322.50","323.65","318.00","321.15","321.00","321.45","320.45","779.80","197.00",1636301,"524,347,812.80",14318
"20-Oct-2020","EQ","315.05","323.55","314.75","318.20","321.30","321.15","319.14","779.80","197.00",2772348,"884,776,267.30",24989
"19-Oct-2020","EQ","322.00","326.00","316.80","319.65","318.05","318.20","320.27","779.80","197.00",2749105,"880,460,463.95",26518
"16-Oct-2020","EQ","315.80","321.00","314.80","318.45","319.30","319.65","318.44","779.80","197.00",2243807,"714,528,279.50",25425
"15-Oct-2020","EQ","319.00","323.50","312.35","318.05","312.65","318.45","319.82","779.80","197.00",6790951,"2,171,888,986.10",51419
"14-Oct-2020","EQ","309.00","319.40","309.00","307.45","318.30","318.05","316.14","779.80","197.00",10683538,"3,377,463,569.20",109044
"13-Oct-2020","EQ","299.95","308.65","299.40","300.55","308.10","307.45","305.97","779.80","197.00",3491360,"1,068,236,028.65",39849
"12-Oct-2020","EQ","302.75","303.70","298.95","301.55","300.60","300.55","301.19","779.80","197.00",970637,"292,344,193.15",15569
"09-Oct-2020","EQ","302.95","304.85","300.00","301.80","301.90","301.55","302.29","779.80","197.00",974040,"294,446,767.10",12530
"08-Oct-2020","EQ","301.45","305.00","299.75","300.95","301.95","301.80","301.87","779.80","197.00",1234452,"372,639,183.70",17351
"07-Oct-2020","EQ","305.80","305.80","298.50","304.25","300.50","300.95","301.42","779.80","197.00",1171809,"353,204,436.05",14175
"06-Oct-2020","EQ","310.00","311.30","303.20","308.05","303.90","304.25","306.93","779.80","197.00",2024556,"621,404,802.35",26741
"05-Oct-2020","EQ","301.60","310.60","299.20","301.60","309.00","308.05","305.58","779.80","197.00",2588974,"791,137,723.15",31573
"01-Oct-2020","EQ","302.50","305.60","300.50","299.50","301.35","301.60","302.58","779.80","197.00",1583975,"479,276,993.60",21986
"30-Sep-2020","EQ","301.95","302.00","296.10","299.95","299.60","299.50","298.69","779.80","197.00",2821196,"842,658,193.85",24780
"29-Sep-2020","EQ","298.90","306.95","297.00","297.40","299.90","299.95","301.65","779.80","197.00",3884925,"1,171,903,311.20",44998
"28-Sep-2020","EQ","295.25","300.65","292.55","290.70","297.30","297.40","297.04","779.80","197.00",2079581,"617,713,213.85",28450
"25-Sep-2020","EQ","281.15","293.10","281.15","278.80","289.55","290.70","287.33","779.80","197.00",2954970,"849,037,137.00",36665
"24-Sep-2020","EQ","298.40","300.90","276.90","293.55","279.55","278.80","289.71","779.80","197.00",7542878,"2,185,241,715.55",113765
"23-Sep-2020","EQ","282.50","300.75","276.10","279.45","299.90","293.55","286.20","779.80","197.00",5567602,"1,593,468,689.70",43304
"22-Sep-2020","EQ","287.40","290.35","273.45","286.70","279.90","279.45","280.27","779.80","197.00",1912625,"536,059,534.05",29374
"21-Sep-2020","EQ","291.70","295.00","285.10","290.30","287.00","286.70","291.44","779.80","197.00",3941998,"1,148,849,745.55",58993
"18-Sep-2020","EQ","300.10","303.00","288.40","298.65","289.05","290.30","293.92","779.80","197.00",3220880,"946,679,666.90",44623
"17-Sep-2020","EQ","300.65","302.30","295.40","301.70","298.95","298.65","299.59","779.80","197.00",1292118,"387,111,536.50",21419
"16-Sep-2020","EQ","306.15","307.15","296.20","306.10","301.40","301.70","300.84","779.80","197.00",2412037,"725,638,144.65",33068
"15-Sep-2020","EQ","304.25","312.90","304.25","303.80","306.30","306.10","308.11","779.80","197.00",4303284,"1,325,889,584.05",46173
"14-Sep-2020","EQ","294.85","307.65","294.15","293.05","303.90","303.80","302.02","779.80","197.00",4542530,"1,371,925,527.30",50627
"11-Sep-2020","EQ","289.20","294.80","287.80","288.80","293.00","293.05","292.19","779.80","197.00",1976097,"577,393,311.20",20921
"10-Sep-2020","EQ","289.00","293.40","285.00","287.35","288.90","288.80","289.25","779.80","197.00",2161794,"625,304,225.75",25933
